id,IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_CurrentStudent,IMSA_Graduate,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,IMSA_SchedYearofGraduation,Home_County,Home_City
0,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, White",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Grundy,Coal City
1,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Oak Park
2,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McHenry,Algonquin
3,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Chicago
4,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Homer Glen
5,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Elmhurst
6,Yes,Accept,Yes,NULL,No,,No,No,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Fulton,Canton
7,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lake,Round Lake
8,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Schaumburg
9,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Peoria,Peoria
10,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,DuPage,Westmont
11,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McLean,Bloomington
12,Yes,Accept,Yes,NULL,No,,No,No,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,St. Clair,Cahokia
13,Yes,Accept,Yes,NULL,No,"Hispanic or Latino, White",No,No,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Grundy,Morris
14,Yes,Accept,Yes,NULL,Yes,"Asian, White",No,Yes,Two or More Races,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Darien
15,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Wilmette
16,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,West Chicago
17,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Des Plaines
18,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Palatine
19,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lake,Grayslake
20,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Evanston
21,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,West Chicago
22,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,North Aurora
23,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Sangamon,Springfield
24,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Naperville
25,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Lisle
26,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,Cook,Schaumburg
27,Yes,Accept,Yes,NULL,No,,No,No,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McLean,Bloomington
28,Yes,Accept,Yes,NULL,Yes,"Black or African American, White",No,Yes,Two or More Races,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Homewood
29,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McLean,Bloomington
30,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Winnebago,Rockford
31,Yes,Accept,Yes,NULL,No,,No,No,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Streamwood
32,Yes,Accept,Yes,NULL,Yes,"Asian, White",No,Yes,Two or More Races,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Schaumburg
33,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McHenry,Crystal Lake
34,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Coles,Mattoon
35,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,Carpentersvle
36,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Lockport
37,Yes,Accept,Yes,NULL,No,"Asian, White",No,No,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Lockport
38,Yes,Accept,Yes,NULL,No,,No,No,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,Elgin
39,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, American Indian or Alaska Native",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,Elgin
40,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,Lake,Vernon Hills
41,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,Batavia
42,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Chicago
43,Yes,Accept,Yes,NULL,No,,No,No,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McLean,Bloomington
44,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,River Forest
45,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Dekalb,Sycamore
46,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Jo Daviess,Galena
47,Yes,Accept,Yes,NULL,No,,No,No,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,West Chicago
48,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lake,Hawthorn Wds
49,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,Will,Joliet
50,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, White",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Elmhurst
51,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lake,Lake Zurich
52,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Aurora
53,Yes,Accept,Yes,NULL,Yes,,No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Berwyn
54,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Naperville
55,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Lynwood
56,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, White",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lake,Ingleside
57,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Chicago
58,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,N Barrington
59,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Glen Ellyn
60,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McHenry,Crystal Lake
61,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Naperville
62,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Park Forest
63,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lee,Paw Paw
64,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Jackson,Carbondale
65,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Naperville
66,Yes,Accept,Yes,NULL,Yes,"Asian, White",No,Yes,Two or More Races,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,Batavia
67,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Cntry Clb Hls
68,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lake,Gurnee
69,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Sangamon,Springfield
70,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,DuPage,Woodridge
71,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Winnebago,Rockford
72,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Naperville
73,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Hoffman Est
74,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,Lake,Vernon Hills
75,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McHenry,Cary
76,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,Peoria,Peoria
77,Yes,Accept,Yes,NULL,Yes,,No,Yes,Black or African American,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lake,Gurnee
78,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,Aurora
79,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Bolingbrook
80,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Alsip
81,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Aurora
82,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, White",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Bolingbrook
83,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Naperville
84,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Bartlett
85,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,West Dundee
86,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Evanston
87,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,Cook,Arlington Hts
88,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Palos Heights
89,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,McHenry,Woodstock
90,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Palatine
91,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,Aurora
92,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Aurora
93,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Palatine
94,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,DuPage,Naperville
95,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Lisle
96,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Dekalb,Dekalb
97,Yes,Accept,Yes,NULL,No,,No,No,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Champaign,Urbana
98,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Lake,Kildeer
99,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Dekalb,Dekalb
100,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, White",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Rock Island,Port Byron
101,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,Cook,Riverside
102,Yes,Accept,Yes,NULL,No,,No,No,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Plainfield
103,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Naperville
104,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Naperville
105,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Jackson,Carbondale
106,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Hoffman Est
107,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,Aurora
108,Yes,Accept,Yes,NULL,No,,No,No,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Dekalb,Sandwich
109,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Naperville
110,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Boone,Caledonia
111,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Coles,Charleston
112,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, White",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kendall,Plano
113,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Kane,North Aurora
114,Yes,Accept,Yes,NULL,Yes,,No,Yes,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,DuPage,West Chicago
115,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, White",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Plainfield
116,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,DuPage,Villa Park
117,Yes,Accept,Yes,NULL,Yes,,No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Will,Lockport
118,Yes,Accept,Yes,NULL,Yes,,No,Yes,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,2014,Lake,Lindenhurst
119,Yes,Accept,Yes,NULL,Yes,"Hispanic or Latino, White",No,Yes,Hispanic or Latino,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Offer,2014,Cook,Brookfield
