IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_Graduate,ID_Person,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,Home_County,Home_City,Applicant_SATM,Applicant_SATCR,Applicant_SATW
NULL,x,No,NULL,NULL,Asian,NULL,30464,Asian,NULL,No,Yes,NULL,2016,NULL,x,x,NULL,No Offer,Will,Bolingbrook,690,620,510
NULL,NULL,No,NULL,NULL,White,NULL,44080,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,290,200,280
NULL,NULL,No,NULL,NULL,,NULL,6949,Black or African American,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,390,430,430
NULL,NULL,No,NULL,NULL,,NULL,15735,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,610,490,530
NULL,NULL,No,NULL,NULL,,NULL,15740,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Elmhurst,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,15741,Not Reported,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Darien,710,600,600
NULL,NULL,No,NULL,NULL,,NULL,15752,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,510,460,490
NULL,NULL,No,NULL,NULL,,NULL,6940,Not Reported,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,St Charles,560,460,530
NULL,NULL,No,NULL,NULL,,NULL,15756,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Will,Romeoville,670,550,550
NULL,NULL,No,NULL,NULL,,NULL,15758,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,450,420,340
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, Black or African American, White",NULL,44018,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Lemont,460,420,430
NULL,NULL,Yes,NULL,Yes,,Yes,1465,Black or African American,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Arlington Hts,560,490,NULL
NULL,NULL,No,NULL,NULL,,NULL,15213,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Cicero,410,390,410
NULL,NULL,Yes,NULL,Yes,Black or African American,Yes,15215,Black or African American,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,St. Clair,O Fallon,490,490,590
NULL,NULL,No,NULL,NULL,,NULL,15772,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Calumet City,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,Black or African American,NULL,43603,Black or African American,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Matteson,NULL,NULL,NULL
NULL,NULL,Yes,3,No,White,No,43604,White,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Moultrie,Sullivan,460,600,600
NULL,NULL,No,NULL,NULL,,NULL,15785,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,660,500,560
NULL,NULL,No,NULL,NULL,,NULL,11966,Black or African American,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Dolton,560,500,450
NULL,NULL,No,NULL,NULL,,NULL,15217,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Glenwood,490,470,NULL
NULL,NULL,No,NULL,NULL,,NULL,15803,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,South Holland,290,340,NULL
NULL,NULL,No,NULL,NULL,,NULL,15803,Black or African American,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,South Holland,350,370,360
NULL,NULL,No,NULL,NULL,Asian,NULL,42081,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Schaumburg,720,710,630
NULL,NULL,No,NULL,NULL,,NULL,15806,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Palos Heights,520,510,NULL
NULL,NULL,No,NULL,NULL,,NULL,15814,Not Reported,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Burr Ridge,620,440,520
NULL,NULL,Yes,NULL,No,Asian,No,15815,Asian,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Burr Ridge,720,510,580
NULL,NULL,Yes,NULL,No,Asian,No,33790,Asian,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Elgin,640,530,NULL
NULL,NULL,Yes,NULL,No,Asian,No,43605,Asian,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,McHenry,Algonquin,670,460,460
NULL,NULL,No,NULL,NULL,,NULL,43606,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Elgin,640,530,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43607,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Lake,Mundelein,660,600,600
NULL,Rescinded,No,NULL,NULL,Asian,NULL,44081,Asian,NULL,No,Yes,NULL,2016,Rescinded,NULL,NULL,NULL,Waitlist,Lake,Buffalo Grove,700,720,700
Yes,Accept,Yes,NULL,No,Asian,No,43605,Asian,Yes,Yes,Yes,Yes,2016,Accept,NULL,NULL,Yes,Waitlist,McHenry,Algonquin,690,550,580
NULL,NULL,Yes,NULL,Yes,Black or African American,Yes,15219,Black or African American,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Cntry Clb Hls,530,500,520
NULL,NULL,Yes,NULL,Yes,Asian,Yes,15833,Asian,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer,Kane,North Aurora,710,540,530
